Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
name12supptype,personal_network_survey_for_clinical_research_als,,checkbox,[name12],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,support_type,,
name13supptype,personal_network_survey_for_clinical_research_als,,checkbox,[name13],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,support_type,,
name14supptype,personal_network_survey_for_clinical_research_als,,checkbox,[name14],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,support_type,,
name15supptype,personal_network_survey_for_clinical_research_als,,checkbox,[name15],"1, Emotional support | 2, Life advice | 3, Financial support | 4, Physical or Health <br> support | 5, Camaraderie | 0, None",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,support_type,,
name1sex,personal_network_survey_for_clinical_research_als,What gender does each person in your network currently identify as? ,radio,[name1],"1, Male | 0, Female | 2, Other",,,,,,"[name_1] = ""1""",,,,sex,,
name2sex,personal_network_survey_for_clinical_research_als,,radio,[name2],"1, Male | 0, Female | 2, Other",,,,,,"[name_2] = ""1""",,,,sex,,
name3sex,personal_network_survey_for_clinical_research_als,,radio,[name3],"1, Male | 0, Female | 2, Other",,,,,,"[name_3] = ""1""",,,,sex,,
name4sex,personal_network_survey_for_clinical_research_als,,radio,[name4],"1, Male | 0, Female | 2, Other",,,,,,"[name_4] = ""1""",,,,sex,,
name5sex,personal_network_survey_for_clinical_research_als,,radio,[name5],"1, Male | 0, Female | 2, Other",,,,,,"[name_5] = ""1""",,,,sex,,
name6sex,personal_network_survey_for_clinical_research_als,,radio,[name6],"1, Male | 0, Female | 2, Other",,,,,,"[name_6] = ""1""",,,,sex,,
name7sex,personal_network_survey_for_clinical_research_als,,radio,[name7],"1, Male | 0, Female | 2, Other",,,,,,"[name_7] = ""1""",,,,sex,,
name8sex,personal_network_survey_for_clinical_research_als,,radio,[name8],"1, Male | 0, Female | 2, Other",,,,,,"[name_8] = ""1""",,,,sex,,
name9sex,personal_network_survey_for_clinical_research_als,,radio,[name9],"1, Male | 0, Female | 2, Other",,,,,,"[name_9] = ""1""",,,,sex,,
name10sex,personal_network_survey_for_clinical_research_als,,radio,[name10],"1, Male | 0, Female | 2, Other",,,,,,"[name_10] = ""1""",,,,sex,,
name11sex,personal_network_survey_for_clinical_research_als,,radio,[name11],"1, Male | 0, Female | 2, Other",,,,,,"[first] < 10 and [name_11] = ""1""",,,,sex,,
name12sex,personal_network_survey_for_clinical_research_als,,radio,[name12],"1, Male | 0, Female | 2, Other",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,sex,,
name13sex,personal_network_survey_for_clinical_research_als,,radio,[name13],"1, Male | 0, Female | 2, Other",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,sex,,
name14sex,personal_network_survey_for_clinical_research_als,,radio,[name14],"1, Male | 0, Female | 2, Other",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,sex,,
name15sex,personal_network_survey_for_clinical_research_als,,radio,[name15],"1, Male | 0, Female | 2, Other",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,sex,,
name1neg,personal_network_survey_for_clinical_research_als,"Do any people in your network have a negative inuence on your health? For example, some people can passively or actively encourage you to smoke, not eat well, or not exercise.",radio,[name1],"1, Yes | 0, No",,,,,,"[name_1] = ""1""",,,,met_through_als,,
name2neg,personal_network_survey_for_clinical_research_als,,radio,[name2],"1, Yes | 0, No",,,,,,"[name_2] = ""1""",,,,met_through_als,,
name3neg,personal_network_survey_for_clinical_research_als,,radio,[name3],"1, Yes | 0, No",,,,,,"[name_3] = ""1""",,,,met_through_als,,
name4neg,personal_network_survey_for_clinical_research_als,,radio,[name4],"1, Yes | 0, No",,,,,,"[name_4] = ""1""",,,,met_through_als,,
name5neg,personal_network_survey_for_clinical_research_als,,radio,[name5],"1, Yes | 0, No",,,,,,"[name_5] = ""1""",,,,met_through_als,,
name6neg,personal_network_survey_for_clinical_research_als,,radio,[name6],"1, Yes | 0, No",,,,,,"[name_6] = ""1""",,,,met_through_als,,
name7neg,personal_network_survey_for_clinical_research_als,,radio,[name7],"1, Yes | 0, No",,,,,,"[name_7] = ""1""",,,,met_through_als,,
name8neg,personal_network_survey_for_clinical_research_als,,radio,[name8],"1, Yes | 0, No",,,,,,"[name_8] = ""1""",,,,met_through_als,,
name9neg,personal_network_survey_for_clinical_research_als,,radio,[name9],"1, Yes | 0, No",,,,,,"[name_9] = ""1""",,,,met_through_als,,
name10neg,personal_network_survey_for_clinical_research_als,,radio,[name10],"1, Yes | 0, No",,,,,,"[name_10] = ""1""",,,,met_through_als,,
name11neg,personal_network_survey_for_clinical_research_als,,radio,[name11],"1, Yes | 0, No",,,,,,"[first] < 10 and [name_11] = ""1""",,,,met_through_als,,
name12neg,personal_network_survey_for_clinical_research_als,,radio,[name12],"1, Yes | 0, No",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,met_through_als,,
name13neg,personal_network_survey_for_clinical_research_als,,radio,[name13],"1, Yes | 0, No",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,met_through_als,,
name14neg,personal_network_survey_for_clinical_research_als,,radio,[name14],"1, Yes | 0, No",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,met_through_als,,
name15neg,personal_network_survey_for_clinical_research_als,,radio,[name15],"1, Yes | 0, No",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,met_through_als,,
name1race,personal_network_survey_for_clinical_research_als,What is the race of each person in your network?,radio,[name1],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"[name_1] = ""1""",,,,race,,
name2race,personal_network_survey_for_clinical_research_als,,radio,[name2],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"[name_2] = ""1""",,,,race,,
name3race,personal_network_survey_for_clinical_research_als,,radio,[name3],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"[name_3] = ""1""",,,,race,,
name4race,personal_network_survey_for_clinical_research_als,,radio,[name4],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"[name_4] = ""1""",,,,race,,
name5race,personal_network_survey_for_clinical_research_als,,radio,[name5],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"[name_5] = ""1""",,,,race,,
name6race,personal_network_survey_for_clinical_research_als,,radio,[name6],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"[name_6] = ""1""",,,,race,,
name7race,personal_network_survey_for_clinical_research_als,,radio,[name7],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"[name_7] = ""1""",,,,race,,
name8race,personal_network_survey_for_clinical_research_als,,radio,[name8],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"[name_8] = ""1""",,,,race,,
name9race,personal_network_survey_for_clinical_research_als,,radio,[name9],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"[name_9] = ""1""",,,,race,,
name10race,personal_network_survey_for_clinical_research_als,,radio,[name10],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"[name_10] = ""1""",,,,race,,
name11race,personal_network_survey_for_clinical_research_als,,radio,[name11],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"[first] < 10 and [name_11] = ""1""",,,,race,,
name12race,personal_network_survey_for_clinical_research_als,,radio,[name12],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,race,,
name13race,personal_network_survey_for_clinical_research_als,,radio,[name13],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,race,,
name14race,personal_network_survey_for_clinical_research_als,,radio,[name14],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,race,,
name15race,personal_network_survey_for_clinical_research_als,,radio,[name15],"1, Black or African American | 2, White | 3, American Indian/Alaska Native | 4, Asian | 5, Native Hawaiian or Other Pacific Islander | 77, Other | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,race,,
name1educ,personal_network_survey_for_clinical_research_als,"As far as you know, what is the highest level of education of each person?",radio,[name1],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"[name_1] = ""1""",,,,education,,
name2educ,personal_network_survey_for_clinical_research_als,,radio,[name2],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"[name_2] = ""1""",,,,education,,
name3educ,personal_network_survey_for_clinical_research_als,,radio,[name3],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"[name_3] = ""1""",,,,education,,
name4educ,personal_network_survey_for_clinical_research_als,,radio,[name4],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"[name_4] = ""1""",,,,education,,
name5educ,personal_network_survey_for_clinical_research_als,,radio,[name5],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"[name_5] = ""1""",,,,education,,
name6educ,personal_network_survey_for_clinical_research_als,,radio,[name6],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"[name_6] = ""1""",,,,education,,
name7educ,personal_network_survey_for_clinical_research_als,,radio,[name7],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"[name_7] = ""1""",,,,education,,
name8educ,personal_network_survey_for_clinical_research_als,,radio,[name8],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"[name_8] = ""1""",,,,education,,
name9educ,personal_network_survey_for_clinical_research_als,,radio,[name9],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"[name_9] = ""1""",,,,education,,
name10educ,personal_network_survey_for_clinical_research_als,,radio,[name10],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"[name_10] = ""1""",,,,education,,
name11educ,personal_network_survey_for_clinical_research_als,,radio,[name11],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"[first] < 10 and [name_11] = ""1""",,,,education,,
name12educ,personal_network_survey_for_clinical_research_als,,radio,[name12],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,education,,
name13educ,personal_network_survey_for_clinical_research_als,,radio,[name13],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,education,,
name14educ,personal_network_survey_for_clinical_research_als,,radio,[name14],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,education,,
name15educ,personal_network_survey_for_clinical_research_als,,radio,[name15],"1, Some high school or less | 2, High school grad | 3, Some college | 4, Associate degree | 5, Bachelor's degree | 6, Graduate degree | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,education,,
name1speak,personal_network_survey_for_clinical_research_als,"On average over the past three months, how often do you communicate with each person in  your network?",radio,[name1],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"[name_1] = ""1""",,,,speak_frequency,,
name2speak,personal_network_survey_for_clinical_research_als,,radio,[name2],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"[name_2] = ""1""",,,,speak_frequency,,
name3speak,personal_network_survey_for_clinical_research_als,,radio,[name3],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"[name_3] = ""1""",,,,speak_frequency,,
name4speak,personal_network_survey_for_clinical_research_als,,radio,[name4],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"[name_4] = ""1""",,,,speak_frequency,,
name5speak,personal_network_survey_for_clinical_research_als,,radio,[name5],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"[name_5] = ""1""",,,,speak_frequency,,
name6speak,personal_network_survey_for_clinical_research_als,,radio,[name6],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"[name_6] = ""1""",,,,speak_frequency,,
name7speak,personal_network_survey_for_clinical_research_als,,radio,[name7],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"[name_7] = ""1""",,,,speak_frequency,,
name8speak,personal_network_survey_for_clinical_research_als,,radio,[name8],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"[name_8] = ""1""",,,,speak_frequency,,
name9speak,personal_network_survey_for_clinical_research_als,,radio,[name9],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"[name_9] = ""1""",,,,speak_frequency,,
name10speak,personal_network_survey_for_clinical_research_als,,radio,[name10],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"[name_10] = ""1""",,,,speak_frequency,,
name11speak,personal_network_survey_for_clinical_research_als,,radio,[name11],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"[first] < 10 and [name_11] = ""1""",,,,speak_frequency,,
name12speak,personal_network_survey_for_clinical_research_als,,radio,[name12],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,speak_frequency,,
name13speak,personal_network_survey_for_clinical_research_als,,radio,[name13],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,speak_frequency,,
name14speak,personal_network_survey_for_clinical_research_als,,radio,[name14],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,speak_frequency,,
name15speak,personal_network_survey_for_clinical_research_als,,radio,[name15],"1, Daily | 2, Weekly | 3, Monthly | 4, Less often | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,speak_frequency,,
name1methodspeak,personal_network_survey_for_clinical_research_als,"What mode(s) of communication do you use with each person in your network?

Which one is your primary mode of communication with each person?
",radio,[name1],"1, In-person | 2, Phone call | 3, Video call | 4, Email | 5, Text | 6, Social media | 0, Other",,,,,,"[name_1] = ""1""",,,,methodspeak,,
name2methodspeak,personal_network_survey_for_clinical_research_als,,radio,[name2],"1, In-person | 2, Phone call | 3, Video call | 4, Email | 5, Text | 6, Social media | 0, Other",,,,,,"[name_2] = ""1""",,,,methodspeak,,
name3methodspeak,personal_network_survey_for_clinical_research_als,,radio,[name3],"1, In-person | 2, Phone call | 3, Video call | 4, Email | 5, Text | 6, Social media | 0, Other",,,,,,"[name_3] = ""1""",,,,methodspeak,,
name4methodspeak,personal_network_survey_for_clinical_research_als,,radio,[name4],"1, In-person | 2, Phone call | 3, Video call | 4, Email | 5, Text | 6, Social media | 0, Other",,,,,,"[name_4] = ""1""",,,,methodspeak,,
name5methodspeak,personal_network_survey_for_clinical_research_als,,radio,[name5],"1, In-person | 2, Phone call | 3, Video call | 4, Email | 5, Text | 6, Social media | 0, Other",,,,,,"[name_5] = ""1""",,,,methodspeak,,
name6methodspeak,personal_network_survey_for_clinical_research_als,,radio,[name6],"1, In-person | 2, Phone call | 3, Video call | 4, Email | 5, Text | 6, Social media | 0, Other",,,,,,"[name_6] = ""1""",,,,methodspeak,,
name7methodspeak,personal_network_survey_for_clinical_research_als,,radio,[name7],"1, In-person | 2, Phone call | 3, Video call | 4, Email | 5, Text | 6, Social media | 0, Other",,,,,,"[name_7] = ""1""",,,,methodspeak,,
name8methodspeak,personal_network_survey_for_clinical_research_als,,radio,[name8],"1, In-person | 2, Phone call | 3, Video call | 4, Email | 5, Text | 6, Social media | 0, Other",,,,,,"[name_8] = ""1""",,,,methodspeak,,
name9methodspeak,personal_network_survey_for_clinical_research_als,,radio,[name9],"1, In-person | 2, Phone call | 3, Video call | 4, Email | 5, Text | 6, Social media | 0, Other",,,,,,"[name_9] = ""1""",,,,methodspeak,,
name10methodspeak,personal_network_survey_for_clinical_research_als,,radio,[name10],"1, In-person | 2, Phone call | 3, Video call | 4, Email | 5, Text | 6, Social media | 0, Other",,,,,,"[name_10] = ""1""",,,,methodspeak,,
name11methodspeak,personal_network_survey_for_clinical_research_als,,radio,[name11],"1, In-person | 2, Phone call | 3, Video call | 4, Email | 5, Text | 6, Social media | 0, Other",,,,,,"[first] < 10 and [name_11] = ""1""",,,,methodspeak,,
name12methodspeak,personal_network_survey_for_clinical_research_als,,radio,[name12],"1, In-person | 2, Phone call | 3, Video call | 4, Email | 5, Text | 6, Social media | 0, Other",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,methodspeak,,
name13methodspeak,personal_network_survey_for_clinical_research_als,,radio,[name13],"1, In-person | 2, Phone call | 3, Video call | 4, Email | 5, Text | 6, Social media | 0, Other",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,methodspeak,,
name14methodspeak,personal_network_survey_for_clinical_research_als,,radio,[name14],"1, In-person | 2, Phone call | 3, Video call | 4, Email | 5, Text | 6, Social media | 0, Other",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,methodspeak,,
name15methodspeak,personal_network_survey_for_clinical_research_als,,radio,[name15],"1, In-person | 2, Phone call | 3, Video call | 4, Email | 5, Text | 6, Social media | 0, Other",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,methodspeak,,
name1length,personal_network_survey_for_clinical_research_als,For how many years have you known the following people?,radio,[name1],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"[name_1] = ""1""",,,,duration,,
name2length,personal_network_survey_for_clinical_research_als,,radio,[name2],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"[name_2] = ""1""",,,,duration,,
name3length,personal_network_survey_for_clinical_research_als,,radio,[name3],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"[name_3] = ""1""",,,,duration,,
name4length,personal_network_survey_for_clinical_research_als,,radio,[name4],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"[name_4] = ""1""",,,,duration,,
name5length,personal_network_survey_for_clinical_research_als,,radio,[name5],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"[name_5] = ""1""",,,,duration,,
name6length,personal_network_survey_for_clinical_research_als,,radio,[name6],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"[name_6] = ""1""",,,,duration,,
name7length,personal_network_survey_for_clinical_research_als,,radio,[name7],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"[name_7] = ""1""",,,,duration,,
name8length,personal_network_survey_for_clinical_research_als,,radio,[name8],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"[name_8] = ""1""",,,,duration,,
name9length,personal_network_survey_for_clinical_research_als,,radio,[name9],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"[name_9] = ""1""",,,,duration,,
name10length,personal_network_survey_for_clinical_research_als,,radio,[name10],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"[name_10] = ""1""",,,,duration,,
name11length,personal_network_survey_for_clinical_research_als,,radio,[name11],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"[first] < 10 and [name_11] = ""1""",,,,duration,,
name12length,personal_network_survey_for_clinical_research_als,,radio,[name12],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,duration,,
name13length,personal_network_survey_for_clinical_research_als,,radio,[name13],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,duration,,
name14length,personal_network_survey_for_clinical_research_als,,radio,[name14],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,duration,,
name15length,personal_network_survey_for_clinical_research_als,,radio,[name15],"1, Less than three | 2, Three to six | 3, More than six | 99, Don't know",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,duration,,
name1relat,personal_network_survey_for_clinical_research_als,"<span style=""font-weight:normal;"">We are now going to ask all the ways each person is connected to you. Some people can be connected to you in more than one way. For example, a man could be your brother, and he could belong to your church, and be your lawyer.</span>

For each person below, in what way are they connected to you?  (Select all that apply)",checkbox,[name1],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"[name_1] = ""1""",,,,relationship,,
name2relat,personal_network_survey_for_clinical_research_als,,checkbox,[name2],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"[name_2] = ""1""",,,,relationship,,
name3relat,personal_network_survey_for_clinical_research_als,,checkbox,[name3],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"[name_3] = ""1""",,,,relationship,,
name4relat,personal_network_survey_for_clinical_research_als,,checkbox,[name4],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"[name_4] = ""1""",,,,relationship,,
name5relat,personal_network_survey_for_clinical_research_als,,checkbox,[name5],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"[name_5] = ""1""",,,,relationship,,
name6relat,personal_network_survey_for_clinical_research_als,,checkbox,[name6],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"[name_6] = ""1""",,,,relationship,,
name7relat,personal_network_survey_for_clinical_research_als,,checkbox,[name7],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"[name_7] = ""1""",,,,relationship,,
name8relat,personal_network_survey_for_clinical_research_als,,checkbox,[name8],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"[name_8] = ""1""",,,,relationship,,
name9relat,personal_network_survey_for_clinical_research_als,,checkbox,[name9],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"[name_9] = ""1""",,,,relationship,,
name10relat,personal_network_survey_for_clinical_research_als,,checkbox,[name10],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"[name_10] = ""1""",,,,relationship,,
name11relat,personal_network_survey_for_clinical_research_als,,checkbox,[name11],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"[first] < 10 and [name_11] = ""1""",,,,relationship,,
name12relat,personal_network_survey_for_clinical_research_als,,checkbox,[name12],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"sum([first],[name_11])<10 and [name_12]=""1""",,,,relationship,,
name13relat,personal_network_survey_for_clinical_research_als,,checkbox,[name13],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"sum([first],[name_11],[name_12])<10 and [name_13]=""1""",,,,relationship,,
name14relat,personal_network_survey_for_clinical_research_als,,checkbox,[name14],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"sum([first],[name_11],[name_12],[name_13])<10 and [name_14]=""1""",,,,relationship,,
name15relat,personal_network_survey_for_clinical_research_als,,checkbox,[name15],"1, Spouse | 2, Family | 3, Friend | 4, Advisor | 5, Co - worker | 77, Other",,,,,,"sum([first],[name_11],[name_12],[name_13],[name_14])<10 and [name_15]=""1""",,,,relationship,,
name1age,personal_network_survey_for_clinical_research_als,"How old is each person? If you don't know the exact age, your best guess is ok.",text,[name1],,,integer,0,150,,"[name_1] = ""1""",,,,,,
name2age,personal_network_survey_for_clinical_research_als,,text,[name2],,,integer,0,150,,"[name_2] = ""1""",,,,,,
name3age,personal_network_survey_for_clinical_research_als,,text,[name3],,,integer,0,150,,"[name_3] = ""1""",,,,,,
name4age,personal_network_survey_for_clinical_research_als,,text,[name4],,,integer,0,150,,"[name_4] = ""1""",,,,,,
name5age,personal_network_survey_for_clinical_research_als,,text,[name5],,,integer,0,150,,"[name_5] = ""1""",,,,,,
name6age,personal_network_survey_for_clinical_research_als,,text,[name6],,,integer,0,150,,"[name_6] = ""1""",,,,,,
name7age,personal_network_survey_for_clinical_research_als,,text,[name7],,,integer,0,150,,"[name_7] = ""1""",,,,,,
name8age,personal_network_survey_for_clinical_research_als,,text,[name8],,,integer,0,150,,"[name_8] = ""1""",,,,,,
